C1,W,Lg,Ls,VGS,Bandwidth,DCPowerConsumption,S11,NoiseFigure,PowerGain
2e-13,3.5e-06,4.67e-09,1e-10,0.7667,4629000000,0.001432,-15.72,1.83,9.16
2e-13,3.5e-06,4.67e-09,1.25e-10,0.9,5326000000,0.002381,-13.48,1.843,8.358
2e-13,3.5e-06,4.67e-09,1.25e-10,0.5,3160000000,0.0001058,-12.31,1.942,2.565
2e-13,3.5e-06,4.67e-09,1.25e-10,0.6333,4622000000,0.0005886,-14.2,1.823,7.343
2e-13,3.5e-06,4.67e-09,1.25e-10,0.7667,5164000000,0.001432,-13.05,1.832,8.259
2e-13,3.5e-06,4.67e-09,1.5e-10,0.9,5929000000,0.002381,-10.85,1.841,7.508
2e-13,3.5e-06,4.67e-09,1.5e-10,0.5,3320000000,0.0001058,-14.05,1.94,2.18
2e-13,3.5e-06,4.67e-09,1.5e-10,0.6333,5016000000,0.0005886,-12.39,1.824,6.637
2e-13,3.5e-06,4.67e-09,1.5e-10,0.7667,5706000000,0.001432,-10.87,1.832,7.436
2e-13,3.5e-06,4.67e-09,1.75e-10,0.9,6513000000,0.002381,-9.142,1.84,6.746
2e-13,3.5e-06,4.67e-09,1.75e-10,0.5,3483000000,0.0001058,-15.64,1.939,1.807
2e-13,3.5e-06,4.67e-09,1.75e-10,0.6333,5429000000,0.0005886,-11.04,1.825,5.975
2e-13,3.5e-06,4.67e-09,1.75e-10,0.7667,6270000000,0.001432,-9.28,1.828,6.678
2e-13,3.5e-06,4.67e-09,2e-10,0.9,7078000000,0.002381,-7.924,1.84,6.067
2e-13,3.5e-06,4.67e-09,2e-10,0.5,3650000000,0.0001058,-16.74,1.939,1.444
2e-13,3.5e-06,4.67e-09,2e-10,0.6333,5851000000,0.0005886,-9.816,1.824,5.354
2e-13,3.5e-06,4.67e-09,2e-10,0.7667,6850000000,0.001432,-8.087,1.824,5.977
2e-13,3.5e-06,4.89e-09,1e-10,0.9,4524000000,0.002381,-18.9,1.839,9.522
2e-13,3.5e-06,4.89e-09,1e-10,0.5,2925000000,0.0001058,-10.05,1.935,3.073
2e-13,3.5e-06,4.89e-09,1e-10,0.6333,4115000000,0.0005886,-16.52,1.813,8.241
2e-13,3.5e-06,4.89e-09,1e-10,0.7667,4465000000,0.001432,-14.4,1.818,9.336
2e-13,3.5e-06,4.89e-09,1.25e-10,0.9,5074000000,0.002381,-13.76,1.835,8.589
2e-13,3.5e-06,4.89e-09,1.25e-10,0.5,3081000000,0.0001058,-11.46,1.934,2.673
2e-13,3.5e-06,4.89e-09,1.25e-10,0.6333,4469000000,0.0005886,-14.92,1.813,7.505
2e-13,3.5e-06,4.89e-09,1.25e-10,0.7667,4960000000,0.001432,-12.55,1.819,8.451
2e-13,3.5e-06,4.89e-09,1.5e-10,0.9,5637000000,0.002381,-11.04,1.832,7.743
2e-13,3.5e-06,4.89e-09,1.5e-10,0.5,3238000000,0.0001058,-12.76,1.933,2.285
2e-13,3.5e-06,4.89e-09,1.5e-10,0.6333,4835000000,0.0005886,-12.8,1.813,6.813
2e-13,3.5e-06,4.89e-09,1.5e-10,0.7667,5472000000,0.001432,-10.69,1.821,7.639
2e-13,3.5e-06,4.89e-09,1.75e-10,0.9,6217000000,0.002381,-9.288,1.83,6.97
2e-13,3.5e-06,4.89e-09,1.75e-10,0.5,3397000000,0.0001058,-13.81,1.933,1.91
2e-13,3.5e-06,4.89e-09,1.75e-10,0.6333,5219000000,0.0005886,-11.06,1.813,6.162
2e-13,3.5e-06,4.89e-09,1.75e-10,0.7667,5995000000,0.001432,-9.223,1.823,6.89
2e-13,3.5e-06,4.89e-09,2e-10,0.9,6804000000,0.002381,-8.042,1.829,6.258
2e-13,3.5e-06,4.89e-09,2e-10,0.5,3559000000,0.0001058,-14.46,1.934,1.546
2e-13,3.5e-06,4.89e-09,2e-10,0.6333,5617000000,0.0005886,-9.713,1.815,5.55
2e-13,3.5e-06,4.89e-09,2e-10,0.7667,6545000000,0.001432,-8.083,1.819,6.196
2e-13,3.5e-06,5.11e-09,1e-10,0.9,4327000000,0.002381,-17.81,1.836,9.731
2e-13,3.5e-06,5.11e-09,1e-10,0.5,2833000000,0.0001058,-9.749,1.926,3.209
2e-13,3.5e-06,5.11e-09,1e-10,0.6333,3912000000,0.0005886,-19.61,1.803,8.47
2e-13,3.5e-06,5.11e-09,1e-10,0.7667,4361000000,0.001432,-14.97,1.806,9.46
2e-13,3.5e-06,5.11e-09,1.25e-10,0.9,4844000000,0.002381,-13.66,1.832,8.81
2e-13,3.5e-06,5.11e-09,1.25e-10,0.5,2984000000,0.0001058,-11.03,1.925,2.809
2e-13,3.5e-06,5.11e-09,1.25e-10,0.6333,4324000000,0.0005886,-16.77,1.802,7.663
2e-13,3.5e-06,5.11e-09,1.25e-10,0.7667,4810000000,0.001432,-12.54,1.806,8.602
2e-13,3.5e-06,5.11e-09,1.5e-10,0.9,5374000000,0.002381,-11.08,1.828,7.972
2e-13,3.5e-06,5.11e-09,1.5e-10,0.5,3135000000,0.0001058,-12.19,1.924,2.422
2e-13,3.5e-06,5.11e-09,1.5e-10,0.6333,4713000000,0.0005886,-13.8,1.801,6.942
2e-13,3.5e-06,5.11e-09,1.5e-10,0.7667,5284000000,0.001432,-10.58,1.806,7.81
2e-13,3.5e-06,5.11e-09,1.75e-10,0.9,5916000000,0.002381,-9.361,1.824,7.204
2e-13,3.5e-06,5.11e-09,1.75e-10,0.5,3288000000,0.0001058,-13.12,1.925,2.048
2e-13,3.5e-06,5.11e-09,1.75e-10,0.6333,5060000000,0.0005886,-11.68,1.801,6.311
2e-13,3.5e-06,5.11e-09,1.75e-10,0.7667,5772000000,0.001432,-9.117,1.808,7.077
2e-13,3.5e-06,5.11e-09,2e-10,0.9,6472000000,0.002381,-8.117,1.821,6.497
2e-13,3.5e-06,5.11e-09,2e-10,0.5,3443000000,0.0001058,-13.7,1.926,1.687
2e-13,3.5e-06,5.11e-09,2e-10,0.6333,5429000000,0.0005886,-10.14,1.801,5.715
2e-13,3.5e-06,5.11e-09,2e-10,0.7667,6279000000,0.001432,-8.007,1.809,6.395
2e-13,3.5e-06,5.33e-09,1e-10,0.9,4197000000,0.002381,-14.71,1.82,9.885
2e-13,3.5e-06,5.33e-09,1e-10,0.5,2711000000,0.0001058,-9.814,1.915,3.391
2e-13,3.5e-06,5.33e-09,1e-10,0.6333,3700000000,0.0005886,-30.14,1.796,8.731
2e-13,3.5e-06,5.33e-09,1e-10,0.7667,4184000000,0.001432,-18.33,1.796,9.657
2e-13,3.5e-06,5.33e-09,1.25e-10,0.9,4667000000,0.002381,-12.63,1.822,8.988
2e-13,3.5e-06,5.33e-09,1.25e-10,0.5,2856000000,0.0001058,-11.16,1.914,2.994
2e-13,3.5e-06,5.33e-09,1.25e-10,0.6333,4078000000,0.0005886,-19.83,1.793,7.928
2e-13,3.5e-06,5.33e-09,1.25e-10,0.7667,4677000000,0.001432,-13.97,1.795,8.746
2e-13,3.5e-06,5.33e-09,1.5e-10,0.9,5163000000,0.002381,-10.69,1.824,8.168
2e-13,3.5e-06,5.33e-09,1.5e-10,0.5,3001000000,0.0001058,-12.4,1.913,2.611
2e-13,3.5e-06,5.33e-09,1.5e-10,0.6333,4468000000,0.0005886,-15.11,1.792,7.19
2e-13,3.5e-06,5.33e-09,1.5e-10,0.7667,5165000000,0.001432,-11.34,1.794,7.926
2e-13,3.5e-06,5.33e-09,1.75e-10,0.9,5663000000,0.002381,-9.195,1.825,7.413
2e-13,3.5e-06,5.33e-09,1.75e-10,0.5,3146000000,0.0001058,-13.44,1.913,2.239
2e-13,3.5e-06,5.33e-09,1.75e-10,0.6333,4858000000,0.0005886,-12.43,1.79,6.507
2e-13,3.5e-06,5.33e-09,1.75e-10,0.7667,5617000000,0.001432,-9.597,1.794,7.218
2e-13,3.5e-06,5.33e-09,2e-10,0.9,6183000000,0.002381,-8.048,1.821,6.715
2e-13,3.5e-06,5.33e-09,2e-10,0.5,3293000000,0.0001058,-14.12,1.914,1.88
2e-13,3.5e-06,5.33e-09,2e-10,0.6333,5254000000,0.0005886,-10.64,1.789,5.872
2e-13,3.5e-06,5.33e-09,2e-10,0.7667,6084000000,0.001432,-8.338,1.794,6.555
2e-13,3.5e-06,5.56e-09,1e-10,0.9,4171000000,0.002381,-15.46,1.804,9.934
2e-13,3.5e-06,5.56e-09,1e-10,0.5,2571000000,0.0001058,-10.15,1.905,3.608
2e-13,3.5e-06,5.56e-09,1e-10,0.6333,3544000000,0.0005886,-22.92,1.794,8.937
2e-13,3.5e-06,5.56e-09,1e-10,0.7667,3955000000,0.001432,-20.9,1.793,9.916
2e-13,3.5e-06,5.56e-09,1.25e-10,0.9,4595000000,0.002381,-12.75,1.804,9.084
2e-13,3.5e-06,5.56e-09,1.25e-10,0.5,2704000000,0.0001058,-11.72,1.903,3.217
2e-13,3.5e-06,5.56e-09,1.25e-10,0.6333,3890000000,0.0005886,-19.67,1.79,8.151
2e-13,3.5e-06,5.56e-09,1.25e-10,0.7667,4414000000,0.001432,-14.89,1.79,9.011
2e-13,3.5e-06,5.56e-09,1.5e-10,0.9,5031000000,0.002381,-10.67,1.804,8.297
2e-13,3.5e-06,5.56e-09,1.5e-10,0.5,2842000000,0.0001058,-13.29,1.901,2.839
2e-13,3.5e-06,5.56e-09,1.5e-10,0.6333,4243000000,0.0005886,-15.44,1.787,7.424
2e-13,3.5e-06,5.56e-09,1.5e-10,0.7667,4887000000,0.001432,-11.85,1.787,8.188
2e-13,3.5e-06,5.56e-09,1.75e-10,0.9,5496000000,0.002381,-9.165,1.805,7.567
2e-13,3.5e-06,5.56e-09,1.75e-10,0.5,2980000000,0.0001058,-14.75,1.9,2.472
2e-13,3.5e-06,5.56e-09,1.75e-10,0.6333,4611000000,0.0005886,-12.75,1.784,6.75
2e-13,3.5e-06,5.56e-09,1.75e-10,0.7667,5366000000,0.001432,-9.93,1.785,7.434
2e-13,3.5e-06,5.56e-09,2e-10,0.9,5971000000,0.002381,-8.031,1.807,6.888
2e-13,3.5e-06,5.56e-09,2e-10,0.5,3119000000,0.0001058,-15.85,1.899,2.117
2e-13,3.5e-06,5.56e-09,2e-10,0.6333,4985000000,0.0005886,-10.9,1.781,6.12
2e-13,3.5e-06,5.56e-09,2e-10,0.7667,5867000000,0.001432,-8.579,1.784,6.737
2e-13,3.5e-06,5.78e-09,1e-10,0.9,3911000000,0.002381,-20.32,1.799,10.23
2e-13,3.5e-06,5.78e-09,1e-10,0.5,2454000000,0.0001058,-10.31,1.899,3.808
2e-13,3.5e-06,5.78e-09,1e-10,0.6333,3486000000,0.0005886,-14.03,1.786,9.014
2e-13,3.5e-06,5.78e-09,1e-10,0.7667,3836000000,0.001432,-15.61,1.788,10.07
2e-13,3.5e-06,5.78e-09,1.25e-10,0.9,4377000000,0.002381,-14.5,1.796,9.312
2e-13,3.5e-06,5.78e-09,1.25e-10,0.5,2568000000,0.0001058,-12.17,1.894,3.432
2e-13,3.5e-06,5.78e-09,1.25e-10,0.6333,3799000000,0.0005886,-14.42,1.787,8.268
